Tag  	Molecule                                     	Date           	Cat Link                                 Metadata Link                           
046503	Si18O, v = 0   5                             	January 2014   	/site/vorhersagen/catalog/c046503.cat    /cgi-bin/cdmsinfo?file=e046503.cat      
047513	29Si18O, v = 0   3                           	January 2014   	/site/vorhersagen/catalog/c047513.cat    /cgi-bin/cdmsinfo?file=e047513.cat      
048510	30Si18O, v = 0   3                           	January 2014   	/site/vorhersagen/catalog/c048510.cat    /cgi-bin/cdmsinfo?file=e048510.cat      
039511	38ArH+                                       	December 2013  	/site/vorhersagen/catalog/c039511.cat    /cgi-bin/cdmsinfo?file=e039511.cat      
056507	H2NCH2CN                                     	December 2013  	/site/vorhersagen/catalog/c056507.cat    /cgi-bin/cdmsinfo?file=e056507.cat      
057502	HDNCH2CN                                     	December 2013  	/site/vorhersagen/catalog/c057502.cat    /cgi-bin/cdmsinfo?file=e057502.cat      
058508	D2NCH2CN                                     	December 2013  	/site/vorhersagen/catalog/c058508.cat    /cgi-bin/cdmsinfo?file=e058508.cat      
072502	s-cis-H2C=CHCOOH                             	December 2013  	/site/vorhersagen/catalog/c072502.cat    /cgi-bin/cdmsinfo?file=e072502.cat      
072503	s-trans-H2C=CHCOOH                           	December 2013  	/site/vorhersagen/catalog/c072503.cat    /cgi-bin/cdmsinfo?file=e072503.cat      
041508	MgOH                                         	November 2013  	/site/vorhersagen/catalog/c041508.cat    /cgi-bin/cdmsinfo?file=e041508.cat      
044516	H2NCO+                                       	November 2013  	/site/vorhersagen/catalog/c044516.cat    /cgi-bin/cdmsinfo?file=e044516.cat      
057501	CaOH                                         	November 2013  	/site/vorhersagen/catalog/c057501.cat    /cgi-bin/cdmsinfo?file=e057501.cat      
068506	H2CNCH2CN                                    	November 2013  	/site/vorhersagen/catalog/c068506.cat    /cgi-bin/cdmsinfo?file=e068506.cat      
016503	CH2D+                                        	October 2013   	/site/vorhersagen/catalog/c016503.cat    /cgi-bin/cdmsinfo?file=e016503.cat      
045517	trans-HOCO                                   	October 2013   	/site/vorhersagen/catalog/c045517.cat    /cgi-bin/cdmsinfo?file=e045517.cat      
045518	cis-HOCO                                     	October 2013   	/site/vorhersagen/catalog/c045518.cat    /cgi-bin/cdmsinfo?file=e045518.cat      
084502	OC3S                                         	October 2013   	/site/vorhersagen/catalog/c084502.cat    /cgi-bin/cdmsinfo?file=e084502.cat      
019506	NH3D+                                        	September 2013 	/site/vorhersagen/catalog/c019506.cat    /cgi-bin/cdmsinfo?file=e019506.cat      
051527	HMgNC                                        	September 2013 	/site/vorhersagen/catalog/c051527.cat    /cgi-bin/cdmsinfo?file=e051527.cat      
055505	HSiCN                                        	September 2013 	/site/vorhersagen/catalog/c055505.cat    /cgi-bin/cdmsinfo?file=e055505.cat      
055506	HSiNC                                        	September 2013 	/site/vorhersagen/catalog/c055506.cat    /cgi-bin/cdmsinfo?file=e055506.cat      
060509	c-C2H4S                                      	September 2013 	/site/vorhersagen/catalog/c060509.cat    /cgi-bin/cdmsinfo?file=e060509.cat      
094501	c-C6H5OH                                     	September 2013 	/site/vorhersagen/catalog/c094501.cat    /cgi-bin/cdmsinfo?file=e094501.cat      
028513	CO+, v = 0                                   	August 2013    	/site/vorhersagen/catalog/c028513.cat    /cgi-bin/cdmsinfo?file=e028513.cat      
028519	CO+, v = 1                                   	August 2013    	/site/vorhersagen/catalog/c028519.cat    /cgi-bin/cdmsinfo?file=e028519.cat      
029519	13CO+                                        	August 2013    	/site/vorhersagen/catalog/c029519.cat    /cgi-bin/cdmsinfo?file=e029519.cat      
030513	C18O+                                        	August 2013    	/site/vorhersagen/catalog/c030513.cat    /cgi-bin/cdmsinfo?file=e030513.cat      
031511	13C18O+                                      	August 2013    	/site/vorhersagen/catalog/c031511.cat    /cgi-bin/cdmsinfo?file=e031511.cat      
